type,title,description,director,n_directors,cast,n_cast_members,country,n_countries,main_country,continent,language,release_year,release_decade,date_added,year_added,delay_added,rating,rating_group,duration,duration_category,listed_in,n_genres,genre
TV Show,"Vendetta: Truth, Lies and The Mafia","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",Not Informed,0,Not Informed,0,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-24,2021,0,TV-MA,Adult,1,Limited Series,"Crime TV Shows, Docuseries, International TV Shows",3,Crime
TV Show,Bangkok Breaking,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",Kongkiat Komesiri,1,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",25,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-23,2021,0,TV-MA,Adult,1,Limited Series,"Crime TV Shows, International TV Shows, TV Action & Adventure",3,Crime
Movie,Je Suis Karl,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",Christian Schwochow,1,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová",11,"Germany, Czech Republic",2,Germany,Europe,German,2021,2020,2021-09-23,2021,0,TV-MA,Adult,127,Feature Film,"Dramas, International Movies",2,Drama
Movie,Confessions of an Invisible Girl,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",Bruno Garotti,1,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",10,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-22,2021,0,TV-PG,Teen,91,Feature Film,"Children & Family Movies, Comedies",2,Family
TV Show,Crime Stories: India Detectives,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,Not Informed,0,Not Informed,0,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-22,2021,0,TV-MA,Adult,1,Limited Series,"British TV Shows, Crime TV Shows, Docuseries",3,TV Shows
TV Show,Dear White People,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",Not Informed,0,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",8,United States,1,United States,North America,English,2021,2020,2021-09-22,2021,0,TV-MA,Adult,4,Long-running Series,"TV Comedies, TV Dramas",2,Comedy
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.","Pedro de Echave García, Pablo Azorín Williams",2,Not Informed,0,Unknown,0,Unknown,Unknown,Unknown,2020,2020,2021-09-22,2021,1,TV-MA,Adult,67,Medium-length Film,"Documentaries, International Movies",2,Documentary
TV Show,Falsa identidad,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,Not Informed,0,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",12,Mexico,1,Mexico,North America,Spanish,2020,2020,2021-09-22,2021,1,TV-MA,Adult,2,Short Series,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",3,Crime
Movie,Intrusion,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",Adam Salky,1,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",10,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-22,2021,0,TV-14,Teen,94,Feature Film,Thrillers,1,Crime
TV Show,Jaguar,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",Not Informed,0,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",8,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-22,2021,0,TV-MA,Adult,1,Limited Series,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",3,International
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",Olivier Megaton,1,Not Informed,0,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-22,2021,0,TV-14,Teen,1,Limited Series,"Crime TV Shows, Docuseries, International TV Shows",3,Crime
TV Show,Resurrection: Ertugrul,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",Not Informed,0,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",10,Turkey,1,Turkey,Europe,Turkish,2018,2010,2021-09-22,2021,3,TV-14,Teen,5,Long-running Series,"International TV Shows, TV Action & Adventure, TV Dramas",3,International
Movie,Avvai Shanmughi,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",K.S. Ravikumar,1,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",6,Unknown,0,Unknown,Unknown,Unknown,1996,1990,2021-09-21,2021,25,TV-PG,Teen,161,Feature Film,"Comedies, International Movies",2,Comedy
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!","Alex Woo, Stanley Moore",2,"Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",4,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-21,2021,0,TV-Y,Kids,61,Medium-length Film,Children & Family Movies,1,Family
Movie,Jeans,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",S. Shankar,1,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",4,India,1,India,Asia,Hindi,1998,1990,2021-09-21,2021,23,TV-14,Teen,166,Feature Film,"Comedies, International Movies, Romantic Movies",3,Comedy
TV Show,Love on the Spectrum,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",Not Informed,0,Brooke Satchwell,1,Australia,1,Australia,Oceania,English,2021,2020,2021-09-21,2021,0,TV-14,Teen,2,Short Series,"Docuseries, International TV Shows, Reality TV",3,Documentary
Movie,Minsara Kanavu,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,Rajiv Menon,1,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",6,Unknown,0,Unknown,Unknown,Unknown,1997,1990,2021-09-21,2021,24,TV-PG,Teen,147,Feature Film,"Comedies, International Movies, Music & Musicals",3,Comedy
Movie,Grown Ups,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Dennis Dugan,1,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",11,United States,1,United States,North America,English,2010,2010,2021-09-20,2021,11,PG-13,Teen,103,Feature Film,Comedies,1,Comedy
Movie,Dark Skies,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",Scott Stewart,1,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",10,United States,1,United States,North America,English,2013,2010,2021-09-19,2021,8,PG-13,Teen,97,Feature Film,"Horror Movies, Sci-Fi & Fantasy",2,Horror
Movie,Paranoia,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Robert Luketic,1,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan",10,"United States, India, France",3,United States,North America,English,2013,2010,2021-09-19,2021,8,PG-13,Teen,106,Feature Film,Thrillers,1,Crime
Movie,Ankahi Kahaniya,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.","Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",3,"Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",7,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-17,2021,0,TV-14,Teen,111,Feature Film,"Dramas, Independent Movies, International Movies",3,Drama
TV Show,Chicago Party Aunt,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,Not Informed,0,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",11,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-17,2021,0,TV-MA,Adult,1,Limited Series,TV Comedies,1,Comedy
TV Show,Sex Education,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",Not Informed,0,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",7,United Kingdom,1,United Kingdom,Europe,English,2020,2020,2021-09-17,2021,1,TV-MA,Adult,3,Short Series,"British TV Shows, International TV Shows, TV Comedies",3,TV Shows
TV Show,Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",Not Informed,0,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",10,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-17,2021,0,TV-MA,Adult,1,Limited Series,"International TV Shows, TV Dramas, TV Thrillers",3,International
TV Show,Tayo and Little Wizards,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,Not Informed,0,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",5,Unknown,0,Unknown,Unknown,Unknown,2020,2020,2021-09-17,2021,1,TV-Y7,Kids,1,Limited Series,Kids' TV,1,Family
Movie,The Father Who Moves Mountains,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",Daniel Sandu,1,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",10,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-17,2021,0,TV-MA,Adult,110,Feature Film,"Dramas, International Movies, Thrillers",3,Drama
Movie,The Stronghold,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",Cédric Jimenez,1,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",10,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-17,2021,0,TV-MA,Adult,105,Feature Film,"Action & Adventure, Dramas, International Movies",3,Action & Adventure
TV Show,Angry Birds,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",Not Informed,0,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",5,Finland,1,Finland,Europe,Finnish,2018,2010,2021-09-16,2021,3,TV-Y7,Kids,1,Limited Series,"Kids' TV, TV Comedies",2,Family
Movie,Birth of the Dragon,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",George Nolfi,1,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia",9,"China, Canada, United States",3,China,Asia,Mandarin,2017,2010,2021-09-16,2021,4,PG-13,Teen,96,Feature Film,"Action & Adventure, Dramas",2,Action & Adventure
TV Show,Chhota Bheem,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",Not Informed,0,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",7,India,1,India,Asia,Hindi,2021,2020,2021-09-16,2021,0,TV-Y7,Kids,3,Short Series,Kids' TV,1,Family
TV Show,He-Man and the Masters of the Universe,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,Not Informed,0,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",11,United States,1,United States,North America,English,2021,2020,2021-09-16,2021,0,TV-Y7,Kids,1,Limited Series,"Kids' TV, TV Sci-Fi & Fantasy",2,Family
Movie,Jaws,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",Steven Spielberg,1,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",10,United States,1,United States,North America,English,1975,1970,2021-09-16,2021,46,PG,Family,124,Feature Film,"Action & Adventure, Classic Movies, Dramas",3,Action & Adventure
Movie,Jaws 2,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",Jeannot Szwarc,1,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",10,United States,1,United States,North America,English,1978,1970,2021-09-16,2021,43,PG,Family,116,Feature Film,"Dramas, Horror Movies, Thrillers",3,Drama
Movie,Jaws 3,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",Joe Alves,1,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",10,United States,1,United States,North America,English,1983,1980,2021-09-16,2021,38,PG,Family,98,Feature Film,"Action & Adventure, Horror Movies, Thrillers",3,Action & Adventure
Movie,Jaws: The Revenge,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",Joseph Sargent,1,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",8,United States,1,United States,North America,English,1987,1980,2021-09-16,2021,34,PG-13,Teen,91,Feature Film,"Action & Adventure, Horror Movies, Thrillers",3,Action & Adventure
Movie,My Heroes Were Cowboys,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Tyler Greco,1,Not Informed,0,Unknown,0,Unknown,Unknown,Unknown,2021,2020,2021-09-16,2021,0,PG,Family,23,Short Film,Documentaries,1,Documentary
Movie,Safe House,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,Daniel Espinosa,1,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman",10,"South Africa, United States, Japan",3,South Africa,Africa,English,2012,2010,2021-09-16,2021,9,R,Adult,115,Feature Film,Action & Adventure,1,Action & Adventure
TV Show,The Smart Money Woman,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",Bunmi Ajakaiye,1,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",10,Unknown,0,Unknown,Unknown,Unknown,2020,2020,2021-09-16,2021,1,TV-MA,Adult,1,Limited Series,"International TV Shows, Romantic TV Shows, TV Comedies",3,International
Movie,Training Day,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,Antoine Fuqua,1,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",11,United States,1,United States,North America,English,2001,2000,2021-09-16,2021,20,R,Adult,122,Feature Film,"Dramas, Thrillers",2,Drama
TV Show,Castle and Castle,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",Not Informed,0,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",14,Nigeria,1,Nigeria,Africa,English,2021,2020,2021-09-15,2021,0,TV-MA,Adult,2,Short Series,"International TV Shows, TV Dramas",2,International
TV Show,Dharmakshetra,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",Not Informed,0,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",9,India,1,India,Asia,Hindi,2014,2010,2021-09-15,2021,7,TV-PG,Teen,1,Limited Series,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",3,International
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",Toshiya Shinohara,1,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",10,Japan,1,Japan,Asia,Japanese,2002,2000,2021-09-15,2021,19,TV-14,Teen,99,Feature Film,"Action & Adventure, Anime Features, International Movies",3,Action & Adventure
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,Toshiya Shinohara,1,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",8,Japan,1,Japan,Asia,Japanese,2003,2000,2021-09-15,2021,18,TV-14,Teen,99,Feature Film,"Action & Adventure, Anime Features, International Movies",3,Action & Adventure
Movie,InuYasha the Movie 4: Fire on the Mystic Island,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",Toshiya Shinohara,1,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",10,Japan,1,Japan,Asia,Japanese,2004,2000,2021-09-15,2021,17,TV-PG,Teen,88,Feature Film,"Action & Adventure, Anime Features, International Movies",3,Action & Adventure
Movie,InuYasha the Movie: Affections Touching Across Time,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",Toshiya Shinohara,1,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",10,Japan,1,Japan,Asia,Japanese,2001,2000,2021-09-15,2021,20,TV-PG,Teen,100,Feature Film,"Action & Adventure, Anime Features, International Movies",3,Action & Adventure
TV Show,Nailed It,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",Not Informed,0,"Nicole Byer, Jacques Torres",2,United States,1,United States,North America,English,2021,2020,2021-09-15,2021,0,TV-PG,Teen,6,Long-running Series,Reality TV,1,Reality
Movie,Naruto Shippuden the Movie: Blood Prison,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",Masahiko Murata,1,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",10,Japan,1,Japan,Asia,Japanese,2011,2010,2021-09-15,2021,10,TV-14,Teen,102,Feature Film,"Action & Adventure, Anime Features, International Movies",3,Action & Adventure
Movie,Naruto Shippûden the Movie: Bonds,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",Hajime Kamegaki,1,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",11,Japan,1,Japan,Asia,Japanese,2008,2000,2021-09-15,2021,13,TV-PG,Teen,93,Feature Film,"Action & Adventure, Anime Features, International Movies",3,Action & Adventure
